"award","projname","projectnmbr","dateofaward","lgid","program","county"
"50000","Green Mountain Falls Comprehensive Plan Update","08502","20-OCT-17","64070","EIAF","El Paso"
"24000","PPACG 2018 Community Mini-Grants","08575","29-NOV-17",NA,"EIAF","El Paso"
"16000","Colorado Springs Cyber Security Symposium Scholarship","08587","06-DEC-17","21015","EIAF","El Paso"
"1000000","Green Mountain Falls-Chipita Park FPD Fire Station","08632","27-MAR-18","64071","EIAF","El Paso"
"153137","Palmer Lake Town Manager","09064","24-FEB-16","21034","EIAF","El Paso"
"0","El Paso County CASA Advocate Services","16-926","20-OCT-16","21019","GAME","El Paso"
"0","El Paso County TESSA Victim Services","16-927","20-OCT-16","21019","GAME","El Paso"
"0","El Paso County 4th Judicial DA Impacts","16-928","20-OCT-16","21019","GAME","El Paso"
"43576","El Paso County CASA Advocate Services","17-964","14-NOV-17","21019","GAME","El Paso"
"36654","El Paso County TESSA Victim Services","17-965","14-NOV-17",NA,"GAME","El Paso"
"78734","El Paso County 4th Judicial DA Impacts","17-966","14-NOV-17","21019","GAME","El Paso"
"25000","El Paso County Fairgrounds Plan Phase II","8336","01-NOV-16","21019","EIAF","El Paso"
"60000","PPACG Joint Land Use Study Project","8338","12-DEC-16",NA,"EIAF","El Paso"
"22050","El Paso County Broadband Strategic Plan","08110","09-DEC-15","21019","EIAF","El Paso"
"125000","Green Mountain Falls Town Manager","08283","05-DEC-16","64070","EIAF","El Paso, Teller"
"0","Central City Parkway Resurfacing","07110","17-APR-13",NA,"EIAF","Gilpin"
"0","Gilpin County Property Records Digitizing","07459","11-JUN-14","24005","EIAF","Gilpin"
"100000","Central City Development Plan","08043","24-AUG-15","64263","EIAF","Gilpin"
"26704","Gilpin County Historic Courthouse Repairs","09060","24-FEB-16","24005","EIAF","Gilpin"
"0","Gilpin Co. 1st Judicial DA Gaming Impacts","12-787","15-OCT-12","24005","GAME","Gilpin"
"0","Gilpin County Law Enforcement Personnel","12-788","15-OCT-12","24005","GAME","Gilpin"
"0","Gilpin Co. RE-1 School Based Counseling Program","12-789","15-OCT-12","24005","GAME","Gilpin"
"0","Gilpin Co. Eagles' Nest Child Care","12-791","15-OCT-12","24005","GAME","Gilpin"
"0","Gilpin Ambulance Authority Billing Software/Operating","12-792","15-OCT-12","66209","GAME","Gilpin"
"0","Timberline FPD Vehicle and Cardiac Monitor Purchase","12-793","15-OCT-12","64075","GAME","Gilpin"
"0","Gilpin Co. Mountain Family Health Center","12-797","15-OCT-12","24005","GAME","Gilpin"
"5000",NA,"12-GILP","01-MAR-12",NA,"CSBG","Gilpin"
"0","Gilpin County Property Records Digitizing","13-802","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin Co. RE-1 School Based Counseling Program","13-803","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin County Law Enforcement Personnel","13-804","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin County Victim Services","13-805","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin County Jail Staff","13-806","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin County Sheriff's Office Communications","13-807","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin Co. Ambulance Authority Operating Expenses","13-808","28-OCT-13","66209","GAME","Gilpin"
"0","Gilpin Co. Mountain Family Health Center","13-809","28-OCT-13","24005","GAME","Gilpin"
"0","Gilpin Co. Eagles' Nest Child Care","13-810","28-OCT-13","24005","GAME","Gilpin"
"0","Timberline FPD Roadway Incident Safety","13-811","28-OCT-13","64075","GAME","Gilpin"
"0","Gilpin County Sheriff's Office Detentions","14-844","22-OCT-14","24005","GAME","Gilpin"
"0","Gilpin County Sheriff's Office Victim Services","14-845","22-OCT-14","24005","GAME","Gilpin"
"0","Gilpin County RE-1 School Based Counseling Program","14-846","22-OCT-14","24005","GAME","Gilpin"
"0","Gilpin County Eagles' Nest Child Care","14-847","22-OCT-14","24005","GAME","Gilpin"
"0","Gilpin County Ambulance Authority Operating","14-849","22-OCT-14","24005","GAME","Gilpin"
"0","Timberline FPD Roadway Rescue Equipment","14-850","22-OCT-14","64075","GAME","Gilpin"
"0","Gilpin County 1st Judicial DA Gaming Impacts","14-851","22-OCT-14","24005","GAME","Gilpin"
"0","Gilpin County Health Care Transport","14-884","22-OCT-14","24005","GAME","Gilpin"
"0","Gilpin County Sheriff's Office Jail Operations","15-899","08-OCT-15","24005","GAME","Gilpin"
"0","Gilpin County Eagles' Nest Child Care","15-900","08-OCT-15","24005","GAME","Gilpin"
"0","Gilpin County RE-1 School Based Counseling Program","15-901","08-OCT-15","24005","GAME","Gilpin"
"0","Gilpin County Ambulance Operations & Vehicle Remount","15-902","08-OCT-15","24005","GAME","Gilpin"
"0","Gilpin County Victim Services","15-903","08-OCT-15","24005","GAME","Gilpin"
"0","Gilpin Co. 1st Judicial DA Gaming Impacts","13-813","28-OCT-13","24005","GAME","Gilpin"
